Date,Tencent,CKLife,Waison,Cowell,quantity,asset,trade_value,portfolio_value
2019-06-24,355.8,0.41,2.83,1.41,,,,84237.94999999998
2019-06-25,349.4,0.405,2.79,1.41,,,,82932.53499999997
2019-06-26,349.0,0.42,2.78,1.4,,,,83029.20999999999
2019-06-27,352.8,0.415,2.86,1.44,,,,84126.075
2019-06-28,352.6,0.435,2.86,1.4,,,,84077.455
2019-07-02,362.4,0.42,2.87,1.5,,,,86541.90999999997
2019-07-03,360.4,0.415,2.79,1.46,,,,85582.21499999998
2019-07-04,360.0,0.415,2.81,1.44,,,,85347.075
2019-07-05,359.8,0.425,2.82,1.45,,,,85609.47499999998
2019-07-08,351.0,0.425,2.82,1.42,,,,83735.76499999998
2019-07-09,350.8,0.425,2.89,1.4,,,,83611.62499999999
2019-07-10,356.8,0.42,2.94,1.39,,,,84576.63999999998
2019-07-11,357.2,0.42,2.95,1.4,,,,84760.20999999999
2019-07-12,355.0,0.425,2.9,1.38,,,,84189.48499999999
2019-07-15,360.8,0.43,2.89,1.4,,,,85505.04
2019-07-16,362.6,0.435,,1.4,,,,
2019-07-17,363.2,0.435,3.11,1.38,,,,86167.31499999999
2019-07-18,356.6,0.435,3.16,1.38,,,,85054.315
2019-07-19,361.8,0.43,3.21,1.39,,,,86068.46999999999
2019-07-22,357.6,0.43,3.08,1.37,,,,84924.32999999999
2019-07-23,358.6,0.43,3.11,1.38,,,,85245.9
2019-07-24,365.6,0.43,3.08,1.44,,,,87040.31999999999
2019-07-25,372.4,0.4,3.08,1.45,,,,87800.39999999998
2019-07-26,370.2,0.4,2.93,1.42,,,,86889.68999999999
2019-07-29,372.2,0.395,2.89,1.4,,,,86903.135
2019-07-30,373.2,0.395,2.95,1.39,,,,87076.56499999999
2019-07-31,368.2,0.395,2.86,1.37,,,,85848.42499999999
2019-08-01,370.0,0.395,2.87,1.37,,,,86187.42499999999
2019-08-02,355.8,0.385,2.81,1.3,,,,82678.605
2019-08-05,340.6,0.385,2.81,1.21,,,,79073.47499999999
2019-08-06,337.2,0.37,2.84,1.18,,,,77936.51999999999
2019-08-07,338.6,0.37,2.75,1.21,,,,78343.23
2019-08-08,342.4,0.375,2.84,1.27,,,,79835.06499999999
2019-08-09,338.4,0.38,2.73,1.26,,,,78946.90999999997
2019-08-12,340.0,0.37,2.67,1.28,,,,79151.22
2019-08-13,334.0,0.37,2.6,1.22,,,,77386.79999999999
2019-08-14,340.0,0.36,2.52,1.27,,,,78642.81999999999
2019-08-15,330.4,0.365,2.48,1.26,,,,76851.66499999998
2019-08-16,326.4,0.365,2.54,1.27,,,,76318.23499999999
2019-08-19,336.8,0.37,2.7,1.32,,,,79006.5
2019-08-20,333.4,0.37,2.64,1.33,,,,78401.06999999998
2019-08-21,332.6,0.375,2.67,1.3,,,,78105.775
2019-08-22,331.0,0.385,2.69,1.26,,,,77648.32499999998
2019-08-23,334.2,0.39,2.66,1.24,,,,78079.59999999998
2019-08-26,326.0,0.37,2.62,1.2,,,,75783.65999999999
2019-08-27,326.2,0.375,2.57,1.21,,,,75934.64499999999
2019-08-28,319.0,0.37,2.67,1.18,,,,74405.51999999997
2019-08-29,320.2,0.375,2.78,1.16,,,,74686.79499999998
2019-08-30,324.8,0.37,2.81,1.14,,,,75273.23999999998
2019-09-02,331.2,0.35,2.84,1.13,,,,76000.01
2019-09-03,329.2,0.35,2.88,1.14,,,,75796.57999999999
2019-09-04,341.2,0.36,3.0,1.19,,,,78806.26
2019-09-05,341.4,0.355,3.13,1.2,,,,79040.41499999998
2019-09-06,343.4,0.36,3.17,1.24,,,,79940.10999999999
2019-09-09,342.4,0.355,3.11,1.23,,,,79480.12499999999
2019-09-10,340.2,0.355,3.08,1.2,,,,78749.41499999998
2019-09-11,346.0,0.355,3.08,1.24,-13629.0,CKLife,-4838.3,80179.7
2019-09-12,349.4,0.365,3.05,1.26,,,,80990.37999999999
2019-09-13,349.6,0.365,3.14,1.27,,,,81257.95
2019-09-16,346.6,0.365,3.03,1.23,,,,80166.67
2019-09-17,343.6,0.36,2.93,1.22,,,,79354.82999999999
2019-09-18,343.0,0.36,3.0,1.33,,,,80414.09999999999
2019-09-19,338.4,0.355,2.98,1.34,,,,79627.39999999998
2019-09-20,337.6,0.36,2.96,1.31,-534.0,Cowell,-699.54,79188.96
2019-09-23,335.8,0.355,2.96,1.26,,,,78383.54
2019-09-24,335.6,0.355,2.89,1.24,,,,78060.08000000002
2019-09-25,328.4,0.35,2.8,1.22,,,,76421.34999999999
2019-09-26,332.4,0.355,2.86,1.22,,,,77256.61999999998
2019-09-27,329.4,0.35,2.95,1.23,,,,76917.57999999999
2019-09-30,330.2,0.355,2.97,1.24,,,,77208.08
2019-10-02,325.0,0.36,3.0,1.25,,,,76433.58
2019-10-03,325.2,0.355,3.0,1.2,,,,75988.16
2019-10-04,322.8,0.345,3.06,1.23,4693.0,Waison,14360.58,75869.30999999998
